a	b
84024.0	860
51257.0	861
34875.0	862
51259.0	863
2109.0	864
84027.0	865
84029.0	866
18494.0	867
84031.0	868
84033.0	869
2116.0	870
84036.0	871
18500.0	872
2119.0	873
34887.0	874
67660.0	875
51278.0	876
67662.0	877
34900.0	878
34904.0	879
67673.0	880
51292.0	881
2144.0	882
51297.0	883
67683.0	884
67698.0	885
2164.0	886
34932.0	887
2166.0	888
51324.0	889
84093.0	890
18560.0	891
2178.0	892
34947.0	893
67716.0	894
51331.0	895
18564.0	896
34951.0	897
18571.0	898
51340.0	899
2192.0	900
84116.0	901
51360.0	902
34977.0	903
34979.0	904
67749.0	905
51366.0	906
2224.0	907
67762.0	908
34996.0	909
35000.0	910
67769.0	911
35006.0	912
35009.0	913
84162.0	914
18625.0	915
51402.0	916
67789.0	917
67791.0	918
2256.0	919
2255.0	920
51411.0	921
67797.0	922
84185.0	923
2268.0	924
51420.0	925
84194.0	926
18660.0	927
51432.0	928
51435.0	929
51438.0	930
84208.0	931
2289.0	932
67825.0	933
18676.0	934
2293.0	935
84213.0	936
67831.0	937
51447.0	938
51449.0	939
2298.0	940
2299.0	941
84217.0	942
84218.0	943
51456.0	944
35074.0	945
51462.0	946
35080.0	947
35083.0	948
35090.0	949
18706.0	950
84242.0	951
35101.0	952
84256.0	953
35108.0	954
35109.0	955
2351.0	956
2355.0	957
2357.0	958
2359.0	959
84279.0	960
84281.0	961
18748.0	962
35133.0	963
51517.0	964
2367.0	965
51519.0	966
18755.0	967
84292.0	968
18761.0	969
2378.0	970
35147.0	971
35146.0	972
18769.0	973
35154.0	974
51539.0	975
2390.0	976
51544.0	977
51545.0	978
84321.0	979
51554.0	980
2405.0	981
84326.0	982
18791.0	983
51561.0	984
18795.0	985
51563.0	986
67953.0	987
18801.0	988
67956.0	989
84342.0	990
35190.0	991
35191.0	992
67960.0	993
67958.0	994
67961.0	995
51574.0	996
18810.0	997
84350.0	998
18822.0	999
18823.0	1000
18825.0	1001
2443.0	1002
51596.0	1003
67979.0	1004
35214.0	1005
18828.0	1006
51613.0	1007
51614.0	1008
35232.0	1009
2465.0	1010
84385.0	1011
51619.0	1012
84390.0	1013
2470.0	1014
68013.0	1015
51629.0	1016
35247.0	1017
18861.0	1018
51630.0	1019
84400.0	1020
35254.0	1021
2487.0	1022
18870.0	1023
18872.0	1024
35260.0	1025
84416.0	1026
84420.0	1027
51653.0	1028
84422.0	1029
68039.0	1030
84424.0	1031
35273.0	1032
2507.0	1033
35275.0	1034
51664.0	1035
84433.0	1036
84432.0	1037
68052.0	1038
