a	b
69972.0	1459
69992.0	1460
70008.0	1461
4473.0	1462
70010.0	1463
4474.0	1464
37244.0	1465
70013.0	1466
37241.0	1467
70018.0	1468
4482.0	1469
37262.0	1470
37263.0	1471
4497.0	1472
70038.0	1473
37271.0	1474
70040.0	1475
4505.0	1476
4502.0	1477
37275.0	1478
37276.0	1479
4511.0	1480
37279.0	1481
70058.0	1482
4526.0	1483
4532.0	1484
37300.0	1485
4536.0	1486
37307.0	1487
70076.0	1488
4544.0	1489
4546.0	1490
37318.0	1491
70087.0	1492
70091.0	1493
70093.0	1494
4562.0	1495
70100.0	1496
37335.0	1497
4568.0	1498
4575.0	1499
37343.0	1500
37344.0	1501
4576.0	1502
70115.0	1503
70122.0	1504
4589.0	1505
4595.0	1506
70132.0	1507
4596.0	1508
4598.0	1509
37366.0	1510
70138.0	1511
37380.0	1512
37383.0	1513
37384.0	1514
4617.0	1515
37387.0	1516
37391.0	1517
37403.0	1518
4637.0	1519
37412.0	1520
70188.0	1521
70191.0	1522
4656.0	1523
70200.0	1524
70202.0	1525
4667.0	1526
70203.0	1527
4671.0	1528
70214.0	1529
4682.0	1530
70219.0	1531
70222.0	1532
37455.0	1533
37457.0	1534
70225.0	1535
4690.0	1536
4693.0	1537
70230.0	1538
37463.0	1539
4696.0	1540
4697.0	1541
4698.0	1542
70237.0	1543
37470.0	1544
70241.0	1545
4718.0	1546
4726.0	1547
37494.0	1548
70269.0	1549
4744.0	1550
37514.0	1551
70287.0	1552
70288.0	1553
4758.0	1554
4760.0	1555
37532.0	1556
37535.0	1557
37538.0	1558
70306.0	1559
70309.0	1560
4775.0	1561
37548.0	1562
4781.0	1563
4785.0	1564
37554.0	1565
37558.0	1566
70331.0	1567
37566.0	1568
4806.0	1569
37576.0	1570
4814.0	1571
70351.0	1572
70356.0	1573
37590.0	1574
4829.0	1575
70367.0	1576
4833.0	1577
37601.0	1578
70372.0	1579
70375.0	1580
70377.0	1581
70378.0	1582
4842.0	1583
4843.0	1584
70386.0	1585
4852.0	1586
37622.0	1587
70391.0	1588
70394.0	1589
70397.0	1590
4862.0	1591
4864.0	1592
37638.0	1593
37640.0	1594
37646.0	1595
37648.0	1596
4880.0	1597
70418.0	1598
37653.0	1599
70421.0	1600
70428.0	1601
4894.0	1602
4896.0	1603
37665.0	1604
70434.0	1605
37667.0	1606
4897.0	1607
4900.0	1608
37668.0	1609
70443.0	1610
37677.0	1611
37683.0	1612
70452.0	1613
37689.0	1614
37695.0	1615
4928.0	1616
4931.0	1617
37700.0	1618
37701.0	1619
37703.0	1620
70473.0	1621
4938.0	1622
4940.0	1623
37711.0	1624
37716.0	1625
37717.0	1626
4949.0	1627
37719.0	1628
37720.0	1629
4951.0	1630
70487.0	1631
4958.0	1632
37727.0	1633
37729.0	1634
37730.0	1635
4965.0	1636
4968.0	1637
70509.0	1638
4979.0	1639
70519.0	1640
4984.0	1641
37751.0	1642
70522.0	1643
37756.0	1644
37758.0	1645
4992.0	1646
4993.0	1647
4994.0	1648
37762.0	1649
70535.0	1650
70539.0	1651
37771.0	1652
70543.0	1653
5008.0	1654
37782.0	1655
5018.0	1656
5023.0	1657
