a	b
36523.0	1779
3758.0	1780
69294.0	1781
85678.0	1782
3762.0	1783
20146.0	1784
69300.0	1785
3767.0	1786
36537.0	1787
52924.0	1788
85692.0	1789
69310.0	1790
20162.0	1791
36552.0	1792
69321.0	1793
3788.0	1794
85709.0	1795
85710.0	1796
52946.0	1797
69336.0	1798
20188.0	1799
85724.0	1800
85726.0	1801
36577.0	1802
36581.0	1803
85734.0	1804
85733.0	1805
69352.0	1806
85741.0	1807
36591.0	1808
69359.0	1809
85744.0	1810
85748.0	1811
69367.0	1812
69368.0	1813
3833.0	1814
69369.0	1815
20216.0	1816
52985.0	1817
20220.0	1818
52996.0	1819
85765.0	1820
85767.0	1821
36619.0	1822
3852.0	1823
53005.0	1824
3854.0	1825
3860.0	1826
36634.0	1827
3868.0	1828
69404.0	1829
36636.0	1830
20254.0	1831
36643.0	1832
20259.0	1833
36647.0	1834
85802.0	1835
20267.0	1836
36656.0	1837
85812.0	1838
69429.0	1839
69430.0	1840
36662.0	1841
36669.0	1842
36673.0	1843
3909.0	1844
36680.0	1845
85832.0	1846
36682.0	1847
3915.0	1848
20296.0	1849
53069.0	1850
20301.0	1851
20304.0	1852
36688.0	1853
3927.0	1854
36698.0	1855
53084.0	1856
3936.0	1857
53090.0	1858
3949.0	1859
20333.0	1860
36719.0	1861
36720.0	1862
53104.0	1863
3955.0	1864
53108.0	1865
69495.0	1866
53112.0	1867
85881.0	1868
3963.0	1869
69500.0	1870
20348.0	1871
20349.0	1872
85888.0	1873
20354.0	1874
3974.0	1875
69514.0	1876
85899.0	1877
3981.0	1878
53133.0	1879
69519.0	1880
69521.0	1881
