gene1,gene2,class,cancer
EPHA7,PARP1,0,BRCA
PARP1,UGP2,0,BRCA
CDKL3,PARP1,0,BRCA
HERPUD1,MAP3K1,1,BRCA
BRCA1,FARSA,1,BRCA
ARHGEF12,CCT2,0,BRCA
CANT1,LMO2,0,BRCA
JAK2,RPL22,0,BRCA
BRCA2,ZFHX3,1,BRCA
MLL5,WRN,1,BRCA
MCPH1,PER1,1,BRCA
BIRC3,MSI2,1,BRCA
LIMK2,PARP1,0,BRCA
BRCA1,TRIM46,1,BRCA
GATA3,NF1,0,BRCA
SPAG1,TP53,1,BRCA
ATP11B,BRCA1,1,BRCA
CREBBP,MLH1,0,BRCA
BRCA1,PRODH2,1,BRCA
FBN1,JAK2,1,BRCA
BRCA1,PARP10,1,BRCA
CD81,PTEN,1,BRCA
PARP1,PLK3,1,BRCA
USP6,WRN,0,BRCA
MPP1,PARP1,0,BRCA
MLL5,NFIB,1,BRCA
BRCA2,TSC1,1,BRCA
CCT2,TSC1,1,BRCA
BRCA1,RHPN2,1,BRCA
CANT1,MSI2,1,BRCA
PTEN,TMEM35,1,BRCA
PTEN,SLC8A1,1,BRCA
PAK7,PARP1,0,BRCA
MARK3,PARP1,0,BRCA
BRCA2,RGS13,1,BRCA
RTP1,TP53,1,BRCA
KRT84,PTEN,1,BRCA
MGMT,PARP1,0,BRCA
MLL5,RB1,0,BRCA
CANT1,EZH2,0,BRCA
LMO2,WRN,0,BRCA
BRCA1,RELT,1,BRCA
LMO2,NDRG1,0,BRCA
GATA3,MET,0,BRCA
LATS2,PARP1,0,BRCA
MLL3,USP6,0,BRCA
LIG4,PARP1,0,BRCA
DHRS13,MAML2,0,BRCA
DCLRE1B,PARP1,0,BRCA
BRCA1,SEMA5A,1,BRCA
PTEN,TSPO,1,BRCA
ATM,PARP1,1,BRCA
BRIP1,DDX10,1,BRCA
CREBBP,CREBBP,0,BRCA
CANT1,CDH1,0,BRCA
MTRF1L,SUFU,0,BRCA
MSI2,USP6,1,BRCA
BIRC3,NFKB2,1,BRCA
TP53,ZNF696,1,BRCA
MAP3K1,NF1,0,BRCA
BRCA2,PPP1R12A,1,BRCA
PTEN,TRPM4,1,BRCA
COX6C,TP53,1,BRCA
BRCA2,DDB2,1,BRCA
GJB4,PTEN,1,BRCA
KRT4,PTEN,1,BRCA
PARP1,STK32C,0,BRCA
NFKB2,PPARA,1,BRCA
TOP1MT,TP53,1,BRCA
KRAS,PIK3R1,1,BRCA
FHIT,RB1,0,BRCA
CANT1,DDB2,0,BRCA
BIRC3,MAML2,0,BRCA
MAP2K4,WRN,1,BRCA
BIRC3,MITF,0,BRCA
BRCA2,TNFSF15,1,BRCA
ITPKB,PARP1,0,BRCA
FLI1,MLH1,1,BRCA
MCF2,PTEN,1,BRCA
IL6ST,USP6,1,BRCA
ARHGEF12,MAML2,0,BRCA
MCPH1,RECQL4,1,BRCA
BRCA1,SMC4,1,BRCA
BRIP1,USP6,0,BRCA
ERCC4,NARS2,0,BRCA
CSRP1,PTEN,1,BRCA
CDH1,PIK3R1,0,BRCA
AKAP8L,TP53,1,BRCA
BRCA1,MYT1,1,BRCA
DDX10,TSC1,1,BRCA
ATM,RORB,1,BRCA
ACOT12,PTEN,1,BRCA
MTRF1L,PTPN13,0,BRCA
ERCC4,FHIT,0,BRCA
DPYS,PTEN,1,BRCA
EXT1,FHIT,0,BRCA
CREBBP,NF1,0,BRCA
CANT1,RPL22,0,BRCA
BRIP1,MAP2K4,1,BRCA
NRG3,PARP1,0,BRCA
BRCA1,NUP205,1,BRCA
CCT2,RECQL4,1,BRCA
LMO2,TRIP11,0,BRCA
BCL10,MTRF1L,0,BRCA
BRCA1,PTK2,1,BRCA
KRAS,RB1,1,BRCA
FHIT,SS18L1,0,BRCA
PLN,PTEN,1,BRCA
EZH2,PPARA,0,BRCA
